date=2019-10-03, time=16:46:39.745308299, pointId=1, operationId=31, amount=80479.07
date=2019-09-26, time=16:03:06.384194260, pointId=3, operationId=32, amount=91160.60
date=2019-06-23, time=23:06:35.335053516, pointId=2, operationId=33, amount=83170.41
date=2019-01-14, time=15:01:04.457092667, pointId=2, operationId=34, amount=24706.93
date=2019-09-27, time=17:47:06.468345965, pointId=3, operationId=35, amount=27152.53
date=2019-04-02, time=15:41:50.354961555, pointId=2, operationId=36, amount=41212.05
date=2019-05-15, time=04:01:14.488152663, pointId=3, operationId=37, amount=36453.56
date=2019-08-04, time=11:47:17.405304153, pointId=1, operationId=38, amount=71727.57
date=2019-12-22, time=08:48:41.293527849, pointId=2, operationId=39, amount=63951.74
date=2019-07-24, time=15:48:03.210856838, pointId=3, operationId=40, amount=44827.98
date=2019-06-11, time=09:12:59.127554259, pointId=2, operationId=41, amount=45209.09
date=2019-04-20, time=14:09:08.778843849, pointId=2, operationId=42, amount=59186.87
date=2019-04-28, time=06:48:38.666752551, pointId=1, operationId=43, amount=88384.63
date=2019-02-06, time=03:42:51.184636782, pointId=3, operationId=44, amount=97613.02
date=2019-11-29, time=09:36:03.012175048, pointId=2, operationId=45, amount=39175.37
date=2019-04-22, time=20:50:47.633649725, pointId=2, operationId=46, amount=55581.41
date=2019-08-19, time=14:35:16.122380556, pointId=3, operationId=47, amount=28005.91
date=2019-07-14, time=01:21:46.932963440, pointId=3, operationId=48, amount=31014.04
date=2019-05-07, time=01:58:30.715688143, pointId=2, operationId=49, amount=33600.73
date=2019-07-12, time=03:26:37.815331945, pointId=3, operationId=50, amount=57470.46
date=2019-08-25, time=03:55:18.157518835, pointId=1, operationId=51, amount=61875.58
date=2019-03-24, time=20:14:58.106585418, pointId=1, operationId=52, amount=25982.91
date=2019-06-25, time=06:13:38.233087148, pointId=3, operationId=53, amount=62999.56
date=2019-11-04, time=02:22:59.034952845, pointId=1, operationId=54, amount=71529.16
date=2019-05-05, time=21:07:00.429301820, pointId=3, operationId=55, amount=30358.37
date=2019-12-17, time=09:27:00.236245556, pointId=3, operationId=56, amount=65409.40
date=2019-05-28, time=13:59:02.594759476, pointId=2, operationId=57, amount=58004.32
date=2019-02-17, time=17:29:37.300900125, pointId=2, operationId=58, amount=98509.60
date=2019-10-17, time=06:30:55.286389764, pointId=3, operationId=59, amount=18220.36
date=2019-07-05, time=21:34:44.545423672, pointId=1, operationId=60, amount=94412.23
