date=2019-09-17, time=12:26:57.073028714, pointId=2, operationId=61, amount=19990.19
date=2019-09-29, time=12:23:06.195112340, pointId=3, operationId=62, amount=40560.97
date=2019-07-15, time=17:43:56.242717307, pointId=3, operationId=63, amount=40695.54
date=2019-01-04, time=17:48:55.763812871, pointId=2, operationId=64, amount=85889.91
date=2019-12-17, time=13:27:11.343272412, pointId=2, operationId=65, amount=76650.76
date=2019-08-14, time=05:37:35.027261704, pointId=2, operationId=66, amount=75260.84
date=2019-05-01, time=02:13:50.834268912, pointId=1, operationId=67, amount=45622.62
date=2019-09-06, time=14:35:25.665858382, pointId=3, operationId=68, amount=10453.75
date=2019-11-25, time=13:26:46.856255306, pointId=2, operationId=69, amount=86515.31
date=2019-03-21, time=23:21:12.921214420, pointId=3, operationId=70, amount=49956.84
date=2019-03-01, time=23:09:46.605206100, pointId=2, operationId=71, amount=96166.23
date=2019-07-16, time=12:46:38.557655861, pointId=2, operationId=72, amount=48533.58
date=2019-07-09, time=10:01:31.687610059, pointId=3, operationId=73, amount=17583.59
date=2019-08-26, time=03:01:28.148533833, pointId=1, operationId=74, amount=90678.09
date=2019-05-25, time=12:26:48.497773772, pointId=2, operationId=75, amount=57652.40
date=2019-07-16, time=23:19:27.007361315, pointId=2, operationId=76, amount=37342.60
date=2019-09-24, time=08:41:46.223859450, pointId=3, operationId=77, amount=56361.79
date=2019-03-21, time=14:15:25.650632655, pointId=2, operationId=78, amount=30902.77
date=2019-01-20, time=06:47:28.730582947, pointId=1, operationId=79, amount=92814.84
date=2019-04-14, time=03:03:06.156901250, pointId=3, operationId=80, amount=45649.59
date=2019-07-25, time=00:37:25.224714325, pointId=3, operationId=81, amount=66896.39
date=2019-04-25, time=11:05:59.280954173, pointId=1, operationId=82, amount=75928.13
date=2019-02-05, time=00:01:44.542341776, pointId=1, operationId=83, amount=53144.52
date=2019-02-08, time=22:45:00.070622289, pointId=2, operationId=84, amount=12155.90
date=2019-02-18, time=09:42:35.176310107, pointId=1, operationId=85, amount=51688.92
date=2019-12-12, time=10:43:01.527826525, pointId=2, operationId=86, amount=78720.57
date=2019-08-20, time=02:44:22.897817489, pointId=3, operationId=87, amount=80564.91
date=2019-06-15, time=22:39:06.522623363, pointId=3, operationId=88, amount=12225.88
date=2019-02-15, time=12:14:14.236505646, pointId=3, operationId=89, amount=20240.61
date=2019-09-13, time=22:00:10.632720166, pointId=1, operationId=90, amount=55500.51
